Station_ID,maintFlag,WRK_DAY2,useHrs
Station-2,0,1/7/2020,24
Station-5,0,1/6/2020,24
Station-2,0,1/6/2020,19
Station-1,1,1/6/2020,24
Station-6,1,1/6/2020,24
Station-2,1,1/6/2020,5
Station-4,1,1/6/2020,5
Station-4,0,1/6/2020,19
Station-3,1,1/6/2020,5
Station-3,0,1/6/2020,19
Station-5,0,1/5/2020,5
Station-1,1,1/5/2020,24
Station-5,1,1/5/2020,19
Station-4,1,1/5/2020,19
Station-3,1,1/5/2020,19
Station-4,0,1/5/2020,5
Station-2,1,1/5/2020,19
Station-2,0,1/5/2020,5
Station-6,1,1/5/2020,24
Station-3,0,1/5/2020,5
Station-3,1,1/4/2020,24
Station-2,1,1/4/2020,24
Station-1,1,1/4/2020,24
Station-4,1,1/4/2020,24
Station-6,1,1/4/2020,24
Station-5,1,1/4/2020,24
Station-3,1,1/3/2020,24
Station-6,1,1/3/2020,24
Station-4,1,1/3/2020,24
Station-5,1,1/3/2020,24
Station-1,1,1/3/2020,24
Station-2,1,1/3/2020,24
Station-6,1,1/2/2020,24
Station-1,1,1/2/2020,24
Station-5,1,1/2/2020,24
Station-2,1,1/2/2020,24
Station-4,1,1/2/2020,24
Station-3,1,1/2/2020,24
Station-6,1,1/1/2020,24
Station-2,1,1/1/2020,24
Station-3,1,1/1/2020,24
Station-4,1,1/1/2020,24
Station-5,1,1/1/2020,24
Station-1,1,1/1/2020,24
Station-1,1,12/31/2019,24
Station-4,1,12/31/2019,24
Station-2,1,12/31/2019,24
Station-6,1,12/31/2019,24
Station-3,1,12/31/2019,24
Station-5,1,12/31/2019,24
Station-2,1,12/30/2019,24
Station-1,1,12/30/2019,24
Station-3,1,12/30/2019,24
Station-4,1,12/30/2019,24
Station-6,1,12/30/2019,24
Station-5,1,12/30/2019,24
Station-4,1,12/29/2019,24
Station-3,1,12/29/2019,24
Station-6,1,12/29/2019,24
Station-2,1,12/29/2019,24
Station-1,1,12/29/2019,24
Station-5,1,12/29/2019,24
Station-2,1,12/28/2019,24
Station-5,1,12/28/2019,24
Station-6,1,12/28/2019,24
Station-4,1,12/28/2019,24
Station-1,1,12/28/2019,24
Station-3,1,12/28/2019,24
Station-3,1,12/27/2019,24
Station-1,1,12/27/2019,24
Station-6,1,12/27/2019,24
Station-2,1,12/27/2019,24
Station-4,1,12/27/2019,24
Station-5,1,12/27/2019,24
Station-2,1,12/26/2019,14
Station-3,1,12/26/2019,14
Station-5,1,12/26/2019,24
Station-1,1,12/26/2019,24
Station-3,0,12/26/2019,10
Station-6,1,12/26/2019,24
Station-4,1,12/26/2019,24
Station-2,0,12/26/2019,10
Station-6,1,12/25/2019,24
Station-4,1,12/25/2019,24
Station-1,1,12/25/2019,24
Station-2,1,12/25/2019,24
Station-3,1,12/25/2019,24
Station-5,1,12/25/2019,24
Station-2,1,12/24/2019,24
Station-4,1,12/24/2019,24
Station-5,1,12/24/2019,24
Station-6,1,12/24/2019,24
Station-1,1,12/24/2019,24
Station-3,1,12/24/2019,24
Station-3,1,12/23/2019,24
Station-5,0,12/23/2019,10
Station-5,1,12/23/2019,14
Station-6,1,12/23/2019,24
Station-4,1,12/23/2019,14
Station-4,0,12/23/2019,10
Station-2,1,12/23/2019,24
Station-1,1,12/23/2019,24
Station-2,1,12/22/2019,24
Station-5,1,12/22/2019,24
Station-1,1,12/22/2019,24
Station-3,1,12/22/2019,24
Station-6,1,12/22/2019,24
Station-4,1,12/22/2019,24
Station-3,1,12/21/2019,24
Station-5,1,12/21/2019,24
Station-2,1,12/21/2019,24
Station-6,1,12/21/2019,24
Station-4,1,12/21/2019,24
Station-1,1,12/21/2019,24
Station-4,1,12/20/2019,24
Station-1,1,12/20/2019,24
Station-5,1,12/20/2019,24
Station-6,1,12/20/2019,24
Station-2,1,12/20/2019,24
Station-3,1,12/20/2019,24
Station-1,1,12/19/2019,24
Station-4,1,12/19/2019,24
Station-2,1,12/19/2019,24
Station-6,1,12/19/2019,24
Station-5,1,12/19/2019,24
Station-3,1,12/19/2019,24
Station-3,1,12/18/2019,24
Station-4,1,12/18/2019,24
Station-5,1,12/18/2019,24
Station-2,1,12/18/2019,24
